time,ax,ay,az,atotal
6.356,-0.07,-0.01,-0.05,0.09
6.366,-0.11,-0.02,-0.02,0.11
6.376,-0.12,-0.00,0.03,0.13
6.386,-0.15,0.00,0.03,0.15
6.396,-0.11,-0.01,-0.00,0.12
6.406,-0.11,-0.03,0.00,0.12
6.416,-0.10,0.03,0.03,0.11
6.426,-0.06,0.07,0.06,0.11
6.436,-0.03,0.06,0.09,0.11
6.446,-0.04,-0.02,0.06,0.07
6.456,-0.11,-0.04,-0.00,0.12
6.466,-0.14,0.04,-0.08,0.17
6.476,-0.15,0.10,-0.16,0.24
6.486,-0.16,0.08,-0.17,0.24
6.496,-0.15,0.03,-0.08,0.17
6.506,-0.11,0.01,0.03,0.11
6.516,-0.07,0.01,0.07,0.11
